epoch,eval/knn_probe_accuracy,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_loss_epoch,fit/inv_loss_step,fit/loss_epoch,fit/loss_step,fit/pool_size_epoch,fit/pool_size_step,fit/reg_loss_epoch,fit/reg_loss_step,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step
,,,0.140625,,1.0,,,,,,,,,376,,
,,,0.2291666716337204,,0.875,,,,,,,,,377,,
,,,0.2083333283662796,,0.9375,,,,,,,,,378,,
,,,0.11249999701976776,,0.875,,,,,,,,,379,,
,,,0.171875,,0.9375,,,,,,,,,380,,
,,,0.09375,,0.6875,,,,,,,,,381,,
,,,0.1875,,1.0,,,,,,,,,382,,
,,,0.09375,,0.75,,,,,,,,,383,,
,,,0.140625,,1.0,,,,,,,,,384,,
,,,0.2291666716337204,,0.9375,,,,,,,,,385,,
,,,0.2083333283662796,,0.9375,,,,,,,,,386,,
,,,0.34375,,0.875,,,,,,,,,387,,
,,,0.15625,,1.0,,,,,,,,,388,,
,,,0.171875,,0.875,,,,,,,,,389,,
,,,0.125,,0.8125,,,,,,,,,390,,
,,,0.21875,,0.75,,,,,,,,,391,,
,,,0.015625,,1.0,,,,,,,,,392,,
,,,0.012500000186264515,,1.0,,,,,,,,,393,,
,,,0.046875,,0.8125,,,,,,,,,394,,
,,,0.02500000037252903,,0.9375,,,,,,,,,395,,
,,,0.0,,0.875,,,,,,,,,396,,
,,,0.0,,0.875,,,,,,,,,397,,
,,,0.012500000186264515,,0.9375,,,,,,,,,398,,
,,,0.015625,,1.0,,,,,,,,,399,,
,,,0.046875,,1.0,,,,,,,,,400,,
,,,0.015625,,1.0,,,,,,,,,401,,
,,,0.02500000037252903,,0.875,,,,,,,,,402,,
,,,0.012500000186264515,,0.9375,,,,,,,,,403,,
,,,0.02083333395421505,,0.75,,,,,,,,,404,,
,,,0.010416666977107525,,0.8125,,,,,,,,,405,,
,,,0.015625,,0.8125,,,,,,,,,406,,
,,,0.02083333395421505,,0.9375,,,,,,,,,407,,
,,,0.010416666977107525,,0.9375,,,,,,,,,408,,
,,,0.0,,1.0,,,,,,,,,409,,
,,,0.02500000037252903,,0.875,,,,,,,,,410,,
,,,0.03125,,0.9375,,,,,,,,,411,,
,,,0.02500000037252903,,0.8125,,,,,,,,,412,,
,,,0.03125,,0.875,,,,,,,,,413,,
,,,0.03125,,0.9375,,,,,,,,,414,,
,,,0.015384616330265999,,0.8333333730697632,,,,,,,,,415,,
,,,0.0,,0.6875,,,,,,,,,416,,
,,,0.0,,0.8125,,,,,,,,,417,,
,,,0.0,,0.375,,,,,,,,,418,,
,,,0.0,,0.5625,,,,,,,,,419,,
,,,0.0,,0.75,,,,,,,,,420,,
,,,0.0,,0.5,,,,,,,,,421,,
,,,0.0,,0.75,,,,,,,,,422,,
,,,0.0,,0.625,,,,,,,,,423,,
,,,0.0,,0.5625,,,,,,,,,424,,
,,,0.0,,0.5625,,,,,,,,,425,,
,,,0.0,,0.625,,,,,,,,,426,,
,,,0.0,,0.5625,,,,,,,,,427,,
,,,0.0,,0.75,,,,,,,,,428,,
