Per-sample gradient bias/variance at fixed anchor points
distributions=['standard_normal', 'shifted_normal', 'scaled_normal', 'laplace', 'student_t5', 'uniform', 'mixture_gauss', 'skewnormal']
anchors=[-1.5, -0.5, 0.5, 1.5], Ns=[16, 32, 64, 128, 256, 512, 1024, 2048, 4096], n_seeds=2000
Aggregation: median over seeds (IQR / std).

loss  distribution           y*      N        med grad       std grad  |med|/std
--------------------------------------------------------------------------------------
w1    laplace             +0.50     64     -1.5625e-02     1.0284e-02      1.519
w1    laplace             +0.50    128     -7.8125e-03     4.4162e-03      1.769
w1    laplace             +0.50    256     -3.9062e-03     9.8052e-04      3.984
w1    laplace             +0.50    512     -1.9531e-03     1.2350e-04     15.815
w1    laplace             +0.50   1024     -9.7656e-04     0.0000e+00 976562499999999881979625472.000
w1    laplace             +0.50   2048     -4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    laplace             +0.50   4096     -2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    laplace             +1.50     16     +6.2500e-02     6.1012e-02      1.024
w1    laplace             +1.50     32     +3.1250e-02     3.1122e-02      1.004
w1    laplace             +1.50     64     +1.5625e-02     1.5572e-02      1.003
w1    laplace             +1.50    128     -7.8125e-03     7.5064e-03      1.041
w1    laplace             +1.50    256     -3.9062e-03     3.7498e-03      1.042
w1    laplace             +1.50    512     -1.9531e-03     1.7989e-03      1.086
w1    laplace             +1.50   1024     -9.7656e-04     7.9081e-04      1.235
w1    laplace             +1.50   2048     -4.8828e-04     2.8163e-04      1.734
w1    laplace             +1.50   4096     -2.4414e-04     9.5132e-05      2.566

w1    student_t5          -1.50     16     -6.2500e-02     6.1780e-02      1.012
w1    student_t5          -1.50     32     -3.1250e-02     3.1253e-02      1.000
w1    student_t5          -1.50     64     +1.5625e-02     1.5471e-02      1.010
w1    student_t5          -1.50    128     +7.8125e-03     6.9467e-03      1.125
w1    student_t5          -1.50    256     +3.9062e-03     3.4277e-03      1.140
w1    student_t5          -1.50    512     +1.9531e-03     1.3836e-03      1.412
w1    student_t5          -1.50   1024     +9.7656e-04     5.0174e-04      1.946
w1    student_t5          -1.50   2048     +4.8828e-04     1.1477e-04      4.255
w1    student_t5          -1.50   4096     +2.4414e-04     1.5437e-05     15.815
w1    student_t5          -0.50     16     +6.2500e-02     6.1401e-02      1.018
w1    student_t5          -0.50     32     +3.1250e-02     2.9418e-02      1.062
w1    student_t5          -0.50     64     +1.5625e-02     1.3828e-02      1.130
w1    student_t5          -0.50    128     +7.8125e-03     6.5570e-03      1.191
w1    student_t5          -0.50    256     +3.9062e-03     2.5755e-03      1.517
w1    student_t5          -0.50    512     +1.9531e-03     6.9284e-04      2.819
w1    student_t5          -0.50   1024     +9.7656e-04     1.6855e-04      5.794
w1    student_t5          -0.50   2048     +4.8828e-04     0.0000e+00 488281249999999940989812736.000
